sheet,pattern,occurrences,example_cell,example_formula,business_rule_code,business_description,status
Données SOMIDA,=+CELL*(1+CELL)^CELL,16,F11,=+$E$11*(1+$D$10)^F10,,,TO_REVIEW
AMPANDRANDAVA,"=""MANUTENTIONNAIRE""",16,D34,"=""MANUTENTIONNAIRE""",,,TO_REVIEW
Feuil3,"=+IF((CELL+CELL)<350000,2000,(CELL+CELL)*0.2)",16,L38,"=+IF((D38+F38)<350000,2000,(D38+F38)*0.2)",,,TO_REVIEW
Primes,=+CELL*CELL*CELL*1000,16,G16,=+D16*F16*$G$15*1000,,,TO_REVIEW
FORT DAUPHIN,=SUM(CELL:CELL),15,G138,=SUM(G7:G135),,,TO_REVIEW
Org,=SUM(CELL:CELL),15,N19,=SUM(N15:R18),,,TO_REVIEW
Détails,=+CELL*4,15,D25,=+C25*4,,,TO_REVIEW
Autres,=SUM(CELL:CELL),15,O3,=SUM(C3:N3),,,TO_REVIEW
BL,"=+SUBTOTAL(9,CELL:CELL)",14,H3,"=+SUBTOTAL(9,H5:H201)",,,TO_REVIEW
Stat,=+CELL/CELL,14,AD4,=+AC4/Y4,,,TO_REVIEW
Org,=+CELL+CELL,14,BE14,=+AM14+BB14,,,TO_REVIEW
Recap coupeuses FD,=SUM(CELL:CELL),14,B11,=SUM(B8:B10),,,TO_REVIEW
AMPANDRANDAVA,=SUM(CELL:CELL),14,G78,=SUM(G2:G77),,,TO_REVIEW
Primes,=+FEUIL3!CELL,14,D65,=+Feuil3!E9,,,TO_REVIEW
Achat,=+PRESTATION!CELL,14,D43,=+Prestation!D82,,,TO_REVIEW
Prestation,=+CELL+CELL,14,D12,=+D11+D8,,,TO_REVIEW
Frais financier,=SUM(CELL:CELL),14,O3,=SUM(C3:N3),,,TO_REVIEW
Etat_Trésorerie FD,=CELL+CELL,14,C81,=C80+C79,,,TO_REVIEW
Données SOMIDA,=+CELL*CELL,13,L48,=+L53*L54,,,TO_REVIEW
Détails,=SUM(CELL:CELL),13,B28,=SUM(B25:B27),,,TO_REVIEW
Commandes,=SUM(CELL),13,C25,=SUM(C24),,,TO_REVIEW
Commandes,=+CELL+CELL+CELL,13,C45,=+C32+C39+C43,,,TO_REVIEW
Production,=(1-+CELL/CELL),13,D15,=(1-+D14/D6),,,TO_REVIEW
Production,=+CELL*CELL,13,C64,=+C62*$P$71,,,TO_REVIEW
Production,=+SUM(CELL:CELL)/(CELL+CELL),13,D94,=+SUM(D88:D91)/(D55+D56),,,TO_REVIEW
Production,=CELL,13,D95,=D94,,,TO_REVIEW
Production,"=IFERROR(+CELL/CELL,"""")",13,D96,"=IFERROR(+D92/D57,"""")",,,TO_REVIEW
Production,"=IFERROR(+CELL/'DONNÉESSOMIDA'!CELL,"""")",13,D100,"=IFERROR(+D96/'Données SOMIDA'!$E$11,"""")",,,TO_REVIEW
Production,"=IFERROR(CELL/'DONNÉESSOMIDA'!CELL,"""")",13,D104,"=IFERROR(D96/'Données SOMIDA'!$E$12,"""")",,,TO_REVIEW
Besoins en micas,"=IFERROR(+CELL*CELL,"""")",13,C27,"=IFERROR(+C25*$O$91,"""")",,,TO_REVIEW
Besoins en micas,=+CELL+CELL+CELL+CELL,13,C83,=+C61+C66+C75+C70,,,TO_REVIEW
Besoins en micas,=+SUM(CELL:CELL),13,C86,=+SUM(C87:C90),,,TO_REVIEW
CA,=+SUM(CELL:CELL)*0.2,13,C33,=+SUM(C30:C31)*0.2,,,TO_REVIEW
CA,"=IFERROR(+SUM(CELL:CELL)/CELL,0)",13,C53,"=IFERROR(+SUM(C19:C28)/C15,0)",,,TO_REVIEW
