sheet,cell,row,column,technical_type,value,classification,confidence,used_by_formulas,reason,number_format
AN,M148,148,13,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,N148,148,14,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,O148,148,15,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,D198,198,4,NUMBER,-5000,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,E198,198,5,NUMBER,-5000,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,F198,198,6,NUMBER,-5000,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,G198,198,7,NUMBER,-5000,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,K198,198,11,NUMBER,-125000,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,L198,198,12,NUMBER,-5000,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,M198,198,13,NUMBER,-5000,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,N198,198,14,NUMBER,-5000,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,O198,198,15,NUMBER,-5000,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
AN,D204,204,4,NUMBER,0,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ "
Besoins en micas,F143,143,6,NUMBER,112837.5,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0_ ;[Red]\-#,##0\ "
Besoins en micas,F144,144,6,NUMBER,112200,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0_ ;[Red]\-#,##0\ "
Besoins en micas,F145,145,6,NUMBER,112837.5,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0_ ;[Red]\-#,##0\ "
Besoins en micas,F146,146,6,NUMBER,112200,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0_ ;[Red]\-#,##0\ "
Besoins en micas,F147,147,6,NUMBER,112837.5,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0_ ;[Red]\-#,##0\ "
Besoins en micas,F148,148,6,NUMBER,112200,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0_ ;[Red]\-#,##0\ "
Besoins en micas,F149,149,6,NUMBER,112837.5,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0_ ;[Red]\-#,##0\ "
Besoins en micas,F150,150,6,NUMBER,103512.5,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0_ ;[Red]\-#,##0\ "
Besoins en micas,F151,151,6,NUMBER,104431.25,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0_ ;[Red]\-#,##0\ "
Besoins en micas,F152,152,6,NUMBER,103512.5,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0_ ;[Red]\-#,##0\ "
Besoins en micas,F153,153,6,NUMBER,104431.25,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0_ ;[Red]\-#,##0\ "
Besoins en micas,F155,155,6,NUMBER,157972.5,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0_ ;[Red]\-#,##0\ "
Besoins en micas,F156,156,6,NUMBER,157080,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0_ ;[Red]\-#,##0\ "
Besoins en micas,F157,157,6,NUMBER,157972.5,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0_ ;[Red]\-#,##0\ "
Besoins en micas,F158,158,6,NUMBER,157080,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0_ ;[Red]\-#,##0\ "
Besoins en micas,F159,159,6,NUMBER,157972.5,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0_ ;[Red]\-#,##0\ "
Besoins en micas,F160,160,6,NUMBER,157080,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0_ ;[Red]\-#,##0\ "
Besoins en micas,F161,161,6,NUMBER,157972.5,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0_ ;[Red]\-#,##0\ "
Besoins en micas,F162,162,6,NUMBER,144917.5,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0_ ;[Red]\-#,##0\ "
Besoins en micas,F163,163,6,NUMBER,146203.75,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0_ ;[Red]\-#,##0\ "
Besoins en micas,F164,164,6,NUMBER,144917.5,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0_ ;[Red]\-#,##0\ "
Besoins en micas,F165,165,6,NUMBER,146203.75,CANDIDATE_PARAMETER,HIGH,4,Constante numérique utilisée par 4 formule(s),"#,##0_ ;[Red]\-#,##0\ "
