sheet,cell,row,column,technical_type,value,classification,confidence,used_by_formulas,reason,number_format,context
FORT DAUPHIN,G105,105,7,NUMBER,164808,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",E103=2012-03-26 00:00:00 | G103=159585 | H103=53195 | I103=0 | E104=2013-01-21 00:00:00 | F104=HC | G104=500000 | H104=0 | I104=0 | E105=2013-10-21 00:00:00 | F105=OS1 | H105=0 | I105=0 | E106=2014-02-26 00:00:00 | F106=M1 | G106=155523 | H106=0 | I106=80395.39 | E107=1996-07-10 00:00:00 | F107=HC | G107=2194958.49 | H107=0 | I107=0
FORT DAUPHIN,H105,105,8,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",G103=159585 | H103=53195 | I103=0 | J103=0 | F104=HC | G104=500000 | H104=0 | I104=0 | J104=0 | F105=OS1 | G105=164808 | I105=0 | J105=0 | F106=M1 | G106=155523 | H106=0 | I106=80395.39 | J106=0 | F107=HC | G107=2194958.49 | H107=0 | I107=0 | J107=0
FORT DAUPHIN,I105,105,9,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",G103=159585 | H103=53195 | I103=0 | J103=0 | K103=53195 | G104=500000 | H104=0 | I104=0 | J104=0 | K104=0 | G105=164808 | H105=0 | J105=0 | K105=0 | G106=155523 | H106=0 | I106=80395.39 | J106=0 | K106=0 | G107=2194958.49 | H107=0 | I107=0 | J107=0 | K107=0
FORT DAUPHIN,J105,105,10,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",H103=53195 | I103=0 | J103=0 | K103=53195 | L103=0 | H104=0 | I104=0 | J104=0 | K104=0 | L104=0 | H105=0 | I105=0 | K105=0 | L105=0 | H106=0 | I106=80395.39 | J106=0 | K106=0 | L106=0 | H107=0 | I107=0 | J107=0 | K107=0 | L107=0
FORT DAUPHIN,K105,105,11,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",I103=0 | J103=0 | K103=53195 | L103=0 | M103=0 | I104=0 | J104=0 | K104=0 | L104=0 | M104=0 | I105=0 | J105=0 | L105=0 | M105=0 | I106=80395.39 | J106=0 | K106=0 | L106=0 | M106=86859.75 | I107=0 | J107=0 | K107=0 | L107=0 | M107=0
FORT DAUPHIN,L105,105,12,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",J103=0 | K103=53195 | L103=0 | M103=0 | N103=159585 | J104=0 | K104=0 | L104=0 | M104=0 | N104=500000 | J105=0 | K105=0 | M105=0 | N105=164808 | J106=0 | K106=0 | L106=0 | M106=86859.75 | N106=322778.14 | J107=0 | K107=0 | L107=0 | M107=0 | N107=2194958.49
FORT DAUPHIN,M105,105,13,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",K103=53195 | L103=0 | M103=0 | N103=159585 | O103=2000 | K104=0 | L104=0 | M104=0 | N104=500000 | O104=44000 | K105=0 | L105=0 | N105=164808 | O105=2000 | K106=0 | L106=0 | M106=86859.75 | N106=322778.14 | O106=13260 | K107=0 | L107=0 | M107=0 | N107=2194958.49 | O107=382500
FORT DAUPHIN,N105,105,14,NUMBER,164808,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",L103=0 | M103=0 | N103=159585 | O103=2000 | P103=1595.85 | L104=0 | M104=0 | N104=500000 | O104=44000 | P104=5000 | L105=0 | M105=0 | O105=2000 | P105=1648.08 | L106=0 | M106=86859.75 | N106=322778.14 | O106=13260 | P106=3227.78 | L107=0 | M107=0 | N107=2194958.49 | O107=382500 | P107=12441.84
FORT DAUPHIN,O105,105,15,NUMBER,2000,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",M103=0 | N103=159585 | O103=2000 | P103=1595.85 | Q103=1595.85 | M104=0 | N104=500000 | O104=44000 | P104=5000 | Q104=5000 | M105=0 | N105=164808 | P105=1648.08 | Q105=0 | M106=86859.75 | N106=322778.14 | O106=13260 | P106=3227.78 | Q106=3227.78 | M107=0 | N107=2194958.49 | O107=382500 | P107=12441.84 | Q107=0
FORT DAUPHIN,P105,105,16,NUMBER,1648.08,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",N103=159585 | O103=2000 | P103=1595.85 | Q103=1595.85 | R103=0 | N104=500000 | O104=44000 | P104=5000 | Q104=5000 | R104=0 | N105=164808 | O105=2000 | Q105=0 | R105=0 | N106=322778.14 | O106=13260 | P106=3227.78 | Q106=3227.78 | R106=0 | N107=2194958.49 | O107=382500 | P107=12441.84 | Q107=0 | R107=0
FORT DAUPHIN,Q105,105,17,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",O103=2000 | P103=1595.85 | Q103=1595.85 | R103=0 | S103=85.31 | O104=44000 | P104=5000 | Q104=5000 | R104=0 | S104=76.06 | O105=2000 | P105=1648.08 | R105=0 | S105=75.87 | O106=13260 | P106=3227.78 | Q106=3227.78 | R106=0 | S106=52.87 | O107=382500 | P107=12441.84 | Q107=0 | R107=0 | S107=17.03
FORT DAUPHIN,R105,105,18,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",P103=1595.85 | Q103=1595.85 | R103=0 | S103=85.31 | T103=78.61 | P104=5000 | Q104=5000 | R104=0 | S104=76.06 | T104=76.06 | P105=1648.08 | Q105=0 | S105=75.87 | T105=35.79 | P106=3227.78 | Q106=3227.78 | R106=0 | S106=52.87 | T106=15.45 | P107=12441.84 | Q107=0 | R107=0 | S107=17.03 | T107=33.68
FORT DAUPHIN,S105,105,19,NUMBER,75.87,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",Q103=1595.85 | R103=0 | S103=85.31 | T103=78.61 | U103=154400 | Q104=5000 | R104=0 | S104=76.06 | T104=76.06 | U104=446000 | Q105=0 | R105=0 | T105=35.79 | U105=161200 | Q106=3227.78 | R106=0 | S106=52.87 | T106=15.45 | U106=303100 | Q107=0 | R107=0 | S107=17.03 | T107=33.68 | U107=1800000
FORT DAUPHIN,T105,105,20,NUMBER,35.79,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",R103=0 | S103=85.31 | T103=78.61 | U103=154400 | V103=PERMANENT | R104=0 | S104=76.06 | T104=76.06 | U104=446000 | V104=PERMANENT | R105=0 | S105=75.87 | U105=161200 | V105=PERMANENT | R106=0 | S106=52.87 | T106=15.45 | U106=303100 | V106=PERMANENT | R107=0 | S107=17.03 | T107=33.68 | U107=1800000 | V107=PERMANENT
FORT DAUPHIN,U105,105,21,NUMBER,161200,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",S103=85.31 | T103=78.61 | U103=154400 | V103=PERMANENT | W103=ATELIER MECA/BOIS | S104=76.06 | T104=76.06 | U104=446000 | V104=PERMANENT | W104=CADRES | S105=75.87 | T105=35.79 | V105=PERMANENT | W105=TRANOMARO | S106=52.87 | T106=15.45 | U106=303100 | V106=PERMANENT | W106=MAIN D'OEUVRE | S107=17.03 | T107=33.68 | U107=1800000 | V107=PERMANENT | W107=CADRES
FORT DAUPHIN,A106,106,1,NUMBER,35,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,General,A104=32 | B104=RAKOTONIRINA | C104=Henintsoa | A105=34 | B105=RAZAFITSALAMA | C105=Francklin | B106=FAHAMARONDRAIBE | C106=Léonce Jea | A107=36 | B107=RAZAFIMANDIMBY | C107=Charlot | A108=39 | B108=RATOMBOTSOA
FORT DAUPHIN,G106,106,7,NUMBER,155523,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",E104=2013-01-21 00:00:00 | F104=HC | G104=500000 | H104=0 | I104=0 | E105=2013-10-21 00:00:00 | F105=OS1 | G105=164808 | H105=0 | I105=0 | E106=2014-02-26 00:00:00 | F106=M1 | H106=0 | I106=80395.39 | E107=1996-07-10 00:00:00 | F107=HC | G107=2194958.49 | H107=0 | I107=0 | E108=2015-01-09 00:00:00 | F108=OP3 | G108=300000 | H108=0 | I108=0
FORT DAUPHIN,H106,106,8,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",F104=HC | G104=500000 | H104=0 | I104=0 | J104=0 | F105=OS1 | G105=164808 | H105=0 | I105=0 | J105=0 | F106=M1 | G106=155523 | I106=80395.39 | J106=0 | F107=HC | G107=2194958.49 | H107=0 | I107=0 | J107=0 | F108=OP3 | G108=300000 | H108=0 | I108=0 | J108=0
FORT DAUPHIN,I106,106,9,NUMBER,80395.39,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",G104=500000 | H104=0 | I104=0 | J104=0 | K104=0 | G105=164808 | H105=0 | I105=0 | J105=0 | K105=0 | G106=155523 | H106=0 | J106=0 | K106=0 | G107=2194958.49 | H107=0 | I107=0 | J107=0 | K107=0 | G108=300000 | H108=0 | I108=0 | J108=0 | K108=0
FORT DAUPHIN,J106,106,10,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",H104=0 | I104=0 | J104=0 | K104=0 | L104=0 | H105=0 | I105=0 | J105=0 | K105=0 | L105=0 | H106=0 | I106=80395.39 | K106=0 | L106=0 | H107=0 | I107=0 | J107=0 | K107=0 | L107=0 | H108=0 | I108=0 | J108=0 | K108=0 | L108=0
FORT DAUPHIN,K106,106,11,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",I104=0 | J104=0 | K104=0 | L104=0 | M104=0 | I105=0 | J105=0 | K105=0 | L105=0 | M105=0 | I106=80395.39 | J106=0 | L106=0 | M106=86859.75 | I107=0 | J107=0 | K107=0 | L107=0 | M107=0 | I108=0 | J108=0 | K108=0 | L108=0 | M108=0
FORT DAUPHIN,L106,106,12,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",J104=0 | K104=0 | L104=0 | M104=0 | N104=500000 | J105=0 | K105=0 | L105=0 | M105=0 | N105=164808 | J106=0 | K106=0 | M106=86859.75 | N106=322778.14 | J107=0 | K107=0 | L107=0 | M107=0 | N107=2194958.49 | J108=0 | K108=0 | L108=0 | M108=0 | N108=300000
FORT DAUPHIN,M106,106,13,NUMBER,86859.75,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",K104=0 | L104=0 | M104=0 | N104=500000 | O104=44000 | K105=0 | L105=0 | M105=0 | N105=164808 | O105=2000 | K106=0 | L106=0 | N106=322778.14 | O106=13260 | K107=0 | L107=0 | M107=0 | N107=2194958.49 | O107=382500 | K108=0 | L108=0 | M108=0 | N108=300000 | O108=9400
FORT DAUPHIN,N106,106,14,NUMBER,322778.14,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",L104=0 | M104=0 | N104=500000 | O104=44000 | P104=5000 | L105=0 | M105=0 | N105=164808 | O105=2000 | P105=1648.08 | L106=0 | M106=86859.75 | O106=13260 | P106=3227.78 | L107=0 | M107=0 | N107=2194958.49 | O107=382500 | P107=12441.84 | L108=0 | M108=0 | N108=300000 | O108=9400 | P108=3000
FORT DAUPHIN,O106,106,15,NUMBER,13260,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",M104=0 | N104=500000 | O104=44000 | P104=5000 | Q104=5000 | M105=0 | N105=164808 | O105=2000 | P105=1648.08 | Q105=0 | M106=86859.75 | N106=322778.14 | P106=3227.78 | Q106=3227.78 | M107=0 | N107=2194958.49 | O107=382500 | P107=12441.84 | Q107=0 | M108=0 | N108=300000 | O108=9400 | P108=3000 | Q108=0
FORT DAUPHIN,P106,106,16,NUMBER,3227.78,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",N104=500000 | O104=44000 | P104=5000 | Q104=5000 | R104=0 | N105=164808 | O105=2000 | P105=1648.08 | Q105=0 | R105=0 | N106=322778.14 | O106=13260 | Q106=3227.78 | R106=0 | N107=2194958.49 | O107=382500 | P107=12441.84 | Q107=0 | R107=0 | N108=300000 | O108=9400 | P108=3000 | Q108=0 | R108=0
FORT DAUPHIN,Q106,106,17,NUMBER,3227.78,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",O104=44000 | P104=5000 | Q104=5000 | R104=0 | S104=76.06 | O105=2000 | P105=1648.08 | Q105=0 | R105=0 | S105=75.87 | O106=13260 | P106=3227.78 | R106=0 | S106=52.87 | O107=382500 | P107=12441.84 | Q107=0 | R107=0 | S107=17.03 | O108=9400 | P108=3000 | Q108=0 | R108=0 | S108=15.33
FORT DAUPHIN,R106,106,18,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",P104=5000 | Q104=5000 | R104=0 | S104=76.06 | T104=76.06 | P105=1648.08 | Q105=0 | R105=0 | S105=75.87 | T105=35.79 | P106=3227.78 | Q106=3227.78 | S106=52.87 | T106=15.45 | P107=12441.84 | Q107=0 | R107=0 | S107=17.03 | T107=33.68 | P108=3000 | Q108=0 | R108=0 | S108=15.33 | T108=15.33
FORT DAUPHIN,S106,106,19,NUMBER,52.87,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",Q104=5000 | R104=0 | S104=76.06 | T104=76.06 | U104=446000 | Q105=0 | R105=0 | S105=75.87 | T105=35.79 | U105=161200 | Q106=3227.78 | R106=0 | T106=15.45 | U106=303100 | Q107=0 | R107=0 | S107=17.03 | T107=33.68 | U107=1800000 | Q108=0 | R108=0 | S108=15.33 | T108=15.33 | U108=287600
FORT DAUPHIN,T106,106,20,NUMBER,15.45,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",R104=0 | S104=76.06 | T104=76.06 | U104=446000 | V104=PERMANENT | R105=0 | S105=75.87 | T105=35.79 | U105=161200 | V105=PERMANENT | R106=0 | S106=52.87 | U106=303100 | V106=PERMANENT | R107=0 | S107=17.03 | T107=33.68 | U107=1800000 | V107=PERMANENT | R108=0 | S108=15.33 | T108=15.33 | U108=287600 | V108=PERMANENT
FORT DAUPHIN,U106,106,21,NUMBER,303100,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",S104=76.06 | T104=76.06 | U104=446000 | V104=PERMANENT | W104=CADRES | S105=75.87 | T105=35.79 | U105=161200 | V105=PERMANENT | W105=TRANOMARO | S106=52.87 | T106=15.45 | V106=PERMANENT | W106=MAIN D'OEUVRE | S107=17.03 | T107=33.68 | U107=1800000 | V107=PERMANENT | W107=CADRES | S108=15.33 | T108=15.33 | U108=287600 | V108=PERMANENT | W108=SOMIDA AMBOASARY
FORT DAUPHIN,A107,107,1,NUMBER,36,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,General,A105=34 | B105=RAZAFITSALAMA | C105=Francklin | A106=35 | B106=FAHAMARONDRAIBE | C106=Léonce Jea | B107=RAZAFIMANDIMBY | C107=Charlot | A108=39 | B108=RATOMBOTSOA | A109=40 | B109=RAZANADIMBY | C109=Fara
FORT DAUPHIN,G107,107,7,NUMBER,2194958.49,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",E105=2013-10-21 00:00:00 | F105=OS1 | G105=164808 | H105=0 | I105=0 | E106=2014-02-26 00:00:00 | F106=M1 | G106=155523 | H106=0 | I106=80395.39 | E107=1996-07-10 00:00:00 | F107=HC | H107=0 | I107=0 | E108=2015-01-09 00:00:00 | F108=OP3 | G108=300000 | H108=0 | I108=0 | E109=2015-01-09 00:00:00 | F109=5A | G109=246051 | H109=49210.2 | I109=0
FORT DAUPHIN,H107,107,8,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",F105=OS1 | G105=164808 | H105=0 | I105=0 | J105=0 | F106=M1 | G106=155523 | H106=0 | I106=80395.39 | J106=0 | F107=HC | G107=2194958.49 | I107=0 | J107=0 | F108=OP3 | G108=300000 | H108=0 | I108=0 | J108=0 | F109=5A | G109=246051 | H109=49210.2 | I109=0 | J109=0
FORT DAUPHIN,I107,107,9,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",G105=164808 | H105=0 | I105=0 | J105=0 | K105=0 | G106=155523 | H106=0 | I106=80395.39 | J106=0 | K106=0 | G107=2194958.49 | H107=0 | J107=0 | K107=0 | G108=300000 | H108=0 | I108=0 | J108=0 | K108=0 | G109=246051 | H109=49210.2 | I109=0 | J109=0 | K109=49210.2
FORT DAUPHIN,J107,107,10,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",H105=0 | I105=0 | J105=0 | K105=0 | L105=0 | H106=0 | I106=80395.39 | J106=0 | K106=0 | L106=0 | H107=0 | I107=0 | K107=0 | L107=0 | H108=0 | I108=0 | J108=0 | K108=0 | L108=0 | H109=49210.2 | I109=0 | J109=0 | K109=49210.2 | L109=0
FORT DAUPHIN,K107,107,11,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",I105=0 | J105=0 | K105=0 | L105=0 | M105=0 | I106=80395.39 | J106=0 | K106=0 | L106=0 | M106=86859.75 | I107=0 | J107=0 | L107=0 | M107=0 | I108=0 | J108=0 | K108=0 | L108=0 | M108=0 | I109=0 | J109=0 | K109=49210.2 | L109=0 | M109=0
FORT DAUPHIN,L107,107,12,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",J105=0 | K105=0 | L105=0 | M105=0 | N105=164808 | J106=0 | K106=0 | L106=0 | M106=86859.75 | N106=322778.14 | J107=0 | K107=0 | M107=0 | N107=2194958.49 | J108=0 | K108=0 | L108=0 | M108=0 | N108=300000 | J109=0 | K109=49210.2 | L109=0 | M109=0 | N109=246051
FORT DAUPHIN,M107,107,13,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",K105=0 | L105=0 | M105=0 | N105=164808 | O105=2000 | K106=0 | L106=0 | M106=86859.75 | N106=322778.14 | O106=13260 | K107=0 | L107=0 | N107=2194958.49 | O107=382500 | K108=0 | L108=0 | M108=0 | N108=300000 | O108=9400 | K109=49210.2 | L109=0 | M109=0 | N109=246051 | O109=2000
FORT DAUPHIN,N107,107,14,NUMBER,2194958.49,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",L105=0 | M105=0 | N105=164808 | O105=2000 | P105=1648.08 | L106=0 | M106=86859.75 | N106=322778.14 | O106=13260 | P106=3227.78 | L107=0 | M107=0 | O107=382500 | P107=12441.84 | L108=0 | M108=0 | N108=300000 | O108=9400 | P108=3000 | L109=0 | M109=0 | N109=246051 | O109=2000 | P109=2460.51
FORT DAUPHIN,O107,107,15,NUMBER,382500,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",M105=0 | N105=164808 | O105=2000 | P105=1648.08 | Q105=0 | M106=86859.75 | N106=322778.14 | O106=13260 | P106=3227.78 | Q106=3227.78 | M107=0 | N107=2194958.49 | P107=12441.84 | Q107=0 | M108=0 | N108=300000 | O108=9400 | P108=3000 | Q108=0 | M109=0 | N109=246051 | O109=2000 | P109=2460.51 | Q109=0
FORT DAUPHIN,P107,107,16,NUMBER,12441.84,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",N105=164808 | O105=2000 | P105=1648.08 | Q105=0 | R105=0 | N106=322778.14 | O106=13260 | P106=3227.78 | Q106=3227.78 | R106=0 | N107=2194958.49 | O107=382500 | Q107=0 | R107=0 | N108=300000 | O108=9400 | P108=3000 | Q108=0 | R108=0 | N109=246051 | O109=2000 | P109=2460.51 | Q109=0 | R109=0
FORT DAUPHIN,Q107,107,17,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",O105=2000 | P105=1648.08 | Q105=0 | R105=0 | S105=75.87 | O106=13260 | P106=3227.78 | Q106=3227.78 | R106=0 | S106=52.87 | O107=382500 | P107=12441.84 | R107=0 | S107=17.03 | O108=9400 | P108=3000 | Q108=0 | R108=0 | S108=15.33 | O109=2000 | P109=2460.51 | Q109=0 | R109=0 | S109=40.07
FORT DAUPHIN,R107,107,18,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",P105=1648.08 | Q105=0 | R105=0 | S105=75.87 | T105=35.79 | P106=3227.78 | Q106=3227.78 | R106=0 | S106=52.87 | T106=15.45 | P107=12441.84 | Q107=0 | S107=17.03 | T107=33.68 | P108=3000 | Q108=0 | R108=0 | S108=15.33 | T108=15.33 | P109=2460.51 | Q109=0 | R109=0 | S109=40.07 | T109=30.56
FORT DAUPHIN,S107,107,19,NUMBER,17.03,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",Q105=0 | R105=0 | S105=75.87 | T105=35.79 | U105=161200 | Q106=3227.78 | R106=0 | S106=52.87 | T106=15.45 | U106=303100 | Q107=0 | R107=0 | T107=33.68 | U107=1800000 | Q108=0 | R108=0 | S108=15.33 | T108=15.33 | U108=287600 | Q109=0 | R109=0 | S109=40.07 | T109=30.56 | U109=241600
FORT DAUPHIN,T107,107,20,NUMBER,33.68,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",R105=0 | S105=75.87 | T105=35.79 | U105=161200 | V105=PERMANENT | R106=0 | S106=52.87 | T106=15.45 | U106=303100 | V106=PERMANENT | R107=0 | S107=17.03 | U107=1800000 | V107=PERMANENT | R108=0 | S108=15.33 | T108=15.33 | U108=287600 | V108=PERMANENT | R109=0 | S109=40.07 | T109=30.56 | U109=241600 | V109=PERMANENT
FORT DAUPHIN,U107,107,21,NUMBER,1800000,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",S105=75.87 | T105=35.79 | U105=161200 | V105=PERMANENT | W105=TRANOMARO | S106=52.87 | T106=15.45 | U106=303100 | V106=PERMANENT | W106=MAIN D'OEUVRE | S107=17.03 | T107=33.68 | V107=PERMANENT | W107=CADRES | S108=15.33 | T108=15.33 | U108=287600 | V108=PERMANENT | W108=SOMIDA AMBOASARY | S109=40.07 | T109=30.56 | U109=241600 | V109=PERMANENT | W109=SOMIDA AMBOASARY
