sheet,cell,row,column,technical_type,value,classification,confidence,used_by_formulas,reason,number_format,context
Détails Achats direct,D19,19,4,NUMBER,1475,CANDIDATE_PARAMETER,HIGH,13,Constante numérique utilisée par 13 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ ",C17=Besoins en emballages | C18=Sacs polypropylène | D18=1510 | E18=Pr 50 kg | F18==+D18*1.2 | C19=Sacs polyéthylène | E19=Pr 50 kg | F19==+D19*1.2 | C21==+C3 | D21==+D3 | E21==+E3 | F21==+F3
Prestation,C32,32,3,NUMBER,100,CANDIDATE_PARAMETER,HIGH,13,Constante numérique utilisée par 13 formule(s),"#,##0.00",D31==+D18 | E31==+E18 | B32=Coupeuses | D32=Ar/kg | B33=Tri dechets | C33=50 | D33=Ar/kg | B34=Cabotages | C34=100 | D34=Ar/kg
Prestation,C15,15,3,NUMBER,5000,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),"#,##0.00",D13==+Production!O1*Prestation!C32 | B14=Dockers | B15=FD | D15=Ar/T | B16=Tve | C16=5000 | D16=Ar/T
Prestation,C25,25,3,NUMBER,110000,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),"#,##0.00",B23=Embarquement | D23==+CA!C15*$C$15 | E23==+CA!D15*$C$15 | B24=Debarquement | D24==+D23 | E24==+E23 | B25==+C93 | D25==+$C$25*D12 | E25==+$C$25*E12 | B26==+C94 | C26=140000 | D26==+$C$26*D12 | E26==+$C$26*E12 | B27==+C95 | C27=250000 | D27==+$C$27*D8 | E27==+$C$27*E8
Prestation,C26,26,3,NUMBER,140000,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),"#,##0.00",B24=Debarquement | D24==+D23 | E24==+E23 | B25==+C93 | C25=110000 | D25==+$C$25*D12 | E25==+$C$25*E12 | B26==+C94 | D26==+$C$26*D12 | E26==+$C$26*E12 | B27==+C95 | C27=250000 | D27==+$C$27*D8 | E27==+$C$27*E8 | B28=Mis à FOB | C28=1250000 | D28==+D8*$C$28 | E28==+E8*$C$28
Prestation,C27,27,3,NUMBER,250000,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),"#,##0.00",B25==+C93 | C25=110000 | D25==+$C$25*D12 | E25==+$C$25*E12 | B26==+C94 | C26=140000 | D26==+$C$26*D12 | E26==+$C$26*E12 | B27==+C95 | D27==+$C$27*D8 | E27==+$C$27*E8 | B28=Mis à FOB | C28=1250000 | D28==+D8*$C$28 | E28==+E8*$C$28 | B29=Total | D29==SUM(D23:D28) | E29==SUM(E23:E28)
Prestation,C33,33,3,NUMBER,50,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),"#,##0.00",D31==+D18 | E31==+E18 | B32=Coupeuses | C32=100 | D32=Ar/kg | B33=Tri dechets | D33=Ar/kg | B34=Cabotages | C34=100 | D34=Ar/kg | B35=Coupes | D35==+(Production!D9+Production!D10)*$C$32 | E35==+(Production!E9+Production!E10)*$C$32
Prestation,C34,34,3,NUMBER,100,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),"#,##0.00",B32=Coupeuses | C32=100 | D32=Ar/kg | B33=Tri dechets | C33=50 | D33=Ar/kg | B34=Cabotages | D34=Ar/kg | B35=Coupes | D35==+(Production!D9+Production!D10)*$C$32 | E35==+(Production!E9+Production!E10)*$C$32 | B36==+B33 | D36==+$C$33*D7*28*1000 | E36==+$C$33*E7*28*1000
Prestation,C37,37,3,NUMBER,4200000,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),"#,##0.00",B35=Coupes | D35==+(Production!D9+Production!D10)*$C$32 | E35==+(Production!E9+Production!E10)*$C$32 | B36==+B33 | D36==+$C$33*D7*28*1000 | E36==+$C$33*E7*28*1000 | B37=La Seal (Par TC) | D37==+$C$37*D11 | E37==+$C$37*E11 | B38=Fret international (Par TC) | C38==+'Données SOMIDA'!D85*'Données SOMIDA'!E11 | D38==+$C$38*D11 | E38==+$C$38*E11 | B39=Cabotages | D39==(+CA!C6+CA!C11)*1000*$C$34 | E39==(+CA!D6+CA!D11)*1000*$C$34
Sal,C15,15,3,NUMBER,1,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),General,A13=Temporaires | C13=Nombres | D13==+D2 | E13==+E2 | B14=Atelier Mecas et bois | B15=Ouvriers | D15==+$C$15*D8*$C$10 | E15==+$C$15*E8*$C$10 | B16=Atelier Micas | B17=Manutentionnaires | C17=6 | D17==+$C$17*D8*$C$10 | E17==+$C$17*E8*$C$10
