sheet,cell,row,column,type,value,number_format,style_id
FORT DAUPHIN,O10,10,15,NUMBER,2000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,P10,10,16,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,Q10,10,17,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,R10,10,18,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,S10,10,19,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,T10,10,20,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,U10,10,21,NUMBER,115000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,V10,10,22,TEXT,JOURNALIER,General,29
FORT DAUPHIN,W10,10,23,TEXT,TRANOMARO,General,29
FORT DAUPHIN,X10,10,24,TEXT,SOMIDA TRA,General,29
FORT DAUPHIN,Y10,10,25,TEXT,Espèces,General,29
FORT DAUPHIN,Z10,10,26,FORMULA,=+N10/J10,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",39
FORT DAUPHIN,A11,11,1,NUMBER,100266,General,28
FORT DAUPHIN,B11,11,2,TEXT,MONJA,General,29
FORT DAUPHIN,C11,11,3,TEXT,Voriavy,General,29
FORT DAUPHIN,D11,11,4,TEXT,MANUTENTIONNAIRE,General,29
FORT DAUPHIN,E11,11,5,OTHER,2017-09-25 00:00:00,mm-dd-yy,31
FORT DAUPHIN,G11,11,7,NUMBER,117000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,H11,11,8,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,I11,11,9,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,J11,11,10,NUMBER,39,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,K11,11,11,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,L11,11,12,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,M11,11,13,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,N11,11,14,NUMBER,117000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,O11,11,15,NUMBER,2000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,P11,11,16,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,Q11,11,17,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,R11,11,18,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,S11,11,19,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,T11,11,20,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,U11,11,21,NUMBER,115000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,V11,11,22,TEXT,JOURNALIER,General,29
FORT DAUPHIN,W11,11,23,TEXT,TRANOMARO,General,29
FORT DAUPHIN,X11,11,24,TEXT,SOMIDA TRA,General,29
FORT DAUPHIN,Y11,11,25,TEXT,Espèces,General,29
FORT DAUPHIN,Z11,11,26,FORMULA,=+N11/J11,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",39
FORT DAUPHIN,A12,12,1,NUMBER,100269,General,28
FORT DAUPHIN,B12,12,2,TEXT,IALY,General,29
FORT DAUPHIN,D12,12,4,TEXT,MANUTENTIONNAIRE,General,29
FORT DAUPHIN,E12,12,5,OTHER,2017-05-26 00:00:00,mm-dd-yy,31
FORT DAUPHIN,G12,12,7,NUMBER,117000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,H12,12,8,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,I12,12,9,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,J12,12,10,NUMBER,39,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,K12,12,11,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,L12,12,12,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,M12,12,13,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,N12,12,14,NUMBER,117000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,O12,12,15,NUMBER,2000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,P12,12,16,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,Q12,12,17,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,R12,12,18,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,S12,12,19,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,T12,12,20,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,U12,12,21,NUMBER,115000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,V12,12,22,TEXT,JOURNALIER,General,29
FORT DAUPHIN,W12,12,23,TEXT,TRANOMARO,General,29
FORT DAUPHIN,X12,12,24,TEXT,SOMIDA TRA,General,29
FORT DAUPHIN,Y12,12,25,TEXT,Espèces,General,29
FORT DAUPHIN,Z12,12,26,FORMULA,=+N12/J12,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",39
FORT DAUPHIN,A13,13,1,NUMBER,100288,General,28
FORT DAUPHIN,B13,13,2,TEXT,DAMY,General,29
FORT DAUPHIN,C13,13,3,TEXT,Sambiravo,General,29
FORT DAUPHIN,D13,13,4,TEXT,manutentionnaire,General,29
FORT DAUPHIN,E13,13,5,OTHER,2017-07-25 00:00:00,mm-dd-yy,31
FORT DAUPHIN,F13,13,6,TEXT,M1,General,29
FORT DAUPHIN,G13,13,7,NUMBER,117000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,H13,13,8,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,I13,13,9,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,J13,13,10,NUMBER,39,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,K13,13,11,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,L13,13,12,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,M13,13,13,NUMBER,0,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,N13,13,14,NUMBER,117000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
FORT DAUPHIN,O13,13,15,NUMBER,2000,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-",30
