business_code,business_name,category,unit,sheet,cell,value_2024,technical_classification,used_by_formulas,status,context
,,,,Détails Achats direct,D18,1510,CANDIDATE_PARAMETER,14,TO_REVIEW,C17=Besoins en emballages | C18=Sacs polypropylène | E18=Pr 50 kg | F18==+D18*1.2 | C19=Sacs polyéthylène | D19=1475 | E19=Pr 50 kg | F19==+D19*1.2
,,,, OKB TRA ABR,B22,110000,CANDIDATE_PARAMETER,13,TO_REVIEW,"A20=Coûts | B20=PU | C20=Quantité | D20=Unité | A21=Redevances et ristournes | B21==$B$9 | C21=0.05 | D21=fft | A22=Droit certificat de conformité | C22==$B$4 | D22=TC | A23=Mise à FOB FD (acquisition TC, Strang) | B23=1250000 | C23==$C$22 | D23=TC | A24=Indemnité agent douanes | B24=100000 | C24=8 | D24=jour"
,,,,Données SOMIDA,D83,450,CANDIDATE_PARAMETER,13,TO_REVIEW,C81=Goodies | D81=425 | E81=USD | F81=CIF | C82=Elinar | D82=300 | E82=EUR | F82=FOB | C83=FP1 | E83=EUR | F83=FOB | C84=Dr Jane | C85=Fret | D85=968 | E85=USD | F85=/CT
,,,,Données SOMIDA,E71,200,CANDIDATE_PARAMETER,13,TO_REVIEW,C70=Distances | E70=Locations | G70=Prix Gaz | C71==+C62 | D71=115 km | F71=ar/kg | G71=250 | C72==+C63 | D72=260 km | E72=300 | F72=ar/kg | G72=100 | C73=FP1 GAZ | D73=260 km | E73=300 | F73=ar/kg | G73=250
,,,,Données SOMIDA,E72,300,CANDIDATE_PARAMETER,13,TO_REVIEW,C70=Distances | E70=Locations | G70=Prix Gaz | C71==+C62 | D71=115 km | E71=200 | F71=ar/kg | G71=250 | C72==+C63 | D72=260 km | F72=ar/kg | G72=100 | C73=FP1 GAZ | D73=260 km | E73=300 | F73=ar/kg | G73=250 | C74==+C64 | D74=0 km | G74=450
,,,,Données SOMIDA,E75,200,CANDIDATE_PARAMETER,13,TO_REVIEW,C73=FP1 GAZ | D73=260 km | E73=300 | F73=ar/kg | G73=250 | C74==+C64 | D74=0 km | G74=450 | C75==+C65 | D75=200 km | F75=ar/kg | G75=250 | C76==+C66 | D76=520 km | E76=100 | F76=ar/kg | G76=350
,,,,Détails Achats direct,D19,1475,CANDIDATE_PARAMETER,13,TO_REVIEW,C17=Besoins en emballages | C18=Sacs polypropylène | D18=1510 | E18=Pr 50 kg | F18==+D18*1.2 | C19=Sacs polyéthylène | E19=Pr 50 kg | F19==+D19*1.2 | C21==+C3 | D21==+D3 | E21==+E3 | F21==+F3
,,,,Prestation,C32,100,CANDIDATE_PARAMETER,13,TO_REVIEW,D31==+D18 | E31==+E18 | B32=Coupeuses | D32=Ar/kg | B33=Tri dechets | C33=50 | D33=Ar/kg | B34=Cabotages | C34=100 | D34=Ar/kg
,,,,Prestation,C15,5000,CANDIDATE_PARAMETER,12,TO_REVIEW,D13==+Production!O1*Prestation!C32 | B14=Dockers | B15=FD | D15=Ar/T | B16=Tve | C16=5000 | D16=Ar/T
,,,,Prestation,C25,110000,CANDIDATE_PARAMETER,12,TO_REVIEW,B23=Embarquement | D23==+CA!C15*$C$15 | E23==+CA!D15*$C$15 | B24=Debarquement | D24==+D23 | E24==+E23 | B25==+C93 | D25==+$C$25*D12 | E25==+$C$25*E12 | B26==+C94 | C26=140000 | D26==+$C$26*D12 | E26==+$C$26*E12 | B27==+C95 | C27=250000 | D27==+$C$27*D8 | E27==+$C$27*E8
,,,,Prestation,C26,140000,CANDIDATE_PARAMETER,12,TO_REVIEW,B24=Debarquement | D24==+D23 | E24==+E23 | B25==+C93 | C25=110000 | D25==+$C$25*D12 | E25==+$C$25*E12 | B26==+C94 | D26==+$C$26*D12 | E26==+$C$26*E12 | B27==+C95 | C27=250000 | D27==+$C$27*D8 | E27==+$C$27*E8 | B28=Mis à FOB | C28=1250000 | D28==+D8*$C$28 | E28==+E8*$C$28
,,,,Prestation,C27,250000,CANDIDATE_PARAMETER,12,TO_REVIEW,B25==+C93 | C25=110000 | D25==+$C$25*D12 | E25==+$C$25*E12 | B26==+C94 | C26=140000 | D26==+$C$26*D12 | E26==+$C$26*E12 | B27==+C95 | D27==+$C$27*D8 | E27==+$C$27*E8 | B28=Mis à FOB | C28=1250000 | D28==+D8*$C$28 | E28==+E8*$C$28 | B29=Total | D29==SUM(D23:D28) | E29==SUM(E23:E28)
,,,,Prestation,C33,50,CANDIDATE_PARAMETER,12,TO_REVIEW,D31==+D18 | E31==+E18 | B32=Coupeuses | C32=100 | D32=Ar/kg | B33=Tri dechets | D33=Ar/kg | B34=Cabotages | C34=100 | D34=Ar/kg | B35=Coupes | D35==+(Production!D9+Production!D10)*$C$32 | E35==+(Production!E9+Production!E10)*$C$32
,,,,Prestation,C34,100,CANDIDATE_PARAMETER,12,TO_REVIEW,B32=Coupeuses | C32=100 | D32=Ar/kg | B33=Tri dechets | C33=50 | D33=Ar/kg | B34=Cabotages | D34=Ar/kg | B35=Coupes | D35==+(Production!D9+Production!D10)*$C$32 | E35==+(Production!E9+Production!E10)*$C$32 | B36==+B33 | D36==+$C$33*D7*28*1000 | E36==+$C$33*E7*28*1000
,,,,Prestation,C37,4200000,CANDIDATE_PARAMETER,12,TO_REVIEW,B35=Coupes | D35==+(Production!D9+Production!D10)*$C$32 | E35==+(Production!E9+Production!E10)*$C$32 | B36==+B33 | D36==+$C$33*D7*28*1000 | E36==+$C$33*E7*28*1000 | B37=La Seal (Par TC) | D37==+$C$37*D11 | E37==+$C$37*E11 | B38=Fret international (Par TC) | C38==+'Données SOMIDA'!D85*'Données SOMIDA'!E11 | D38==+$C$38*D11 | E38==+$C$38*E11 | B39=Cabotages | D39==(+CA!C6+CA!C11)*1000*$C$34 | E39==(+CA!D6+CA!D11)*1000*$C$34
,,,,Sal,C15,1,CANDIDATE_PARAMETER,12,TO_REVIEW,A13=Temporaires | C13=Nombres | D13==+D2 | E13==+E2 | B14=Atelier Mecas et bois | B15=Ouvriers | D15==+$C$15*D8*$C$10 | E15==+$C$15*E8*$C$10 | B16=Atelier Micas | B17=Manutentionnaires | C17=6 | D17==+$C$17*D8*$C$10 | E17==+$C$17*E8*$C$10
,,,,Sal,C17,6,CANDIDATE_PARAMETER,12,TO_REVIEW,B15=Ouvriers | C15=1 | D15==+$C$15*D8*$C$10 | E15==+$C$15*E8*$C$10 | B16=Atelier Micas | B17=Manutentionnaires | D17==+$C$17*D8*$C$10 | E17==+$C$17*E8*$C$10 | B18=Nettoyeur | C18=2 | D18==+$C$18*$C$10*D8/2 | E18==+$C$18*$C$10*E8/2 | B19=Securité
,,,,Sal,C18,2,CANDIDATE_PARAMETER,12,TO_REVIEW,B16=Atelier Micas | B17=Manutentionnaires | C17=6 | D17==+$C$17*D8*$C$10 | E17==+$C$17*E8*$C$10 | B18=Nettoyeur | D18==+$C$18*$C$10*D8/2 | E18==+$C$18*$C$10*E8/2 | B19=Securité | B20=Agents | C20=1 | D20==+$C$20*$C$10*25 | E20==+$C$20*$C$10*25
,,,,Sal,C20,1,CANDIDATE_PARAMETER,12,TO_REVIEW,B18=Nettoyeur | C18=2 | D18==+$C$18*$C$10*D8/2 | E18==+$C$18*$C$10*E8/2 | B19=Securité | B20=Agents | D20==+$C$20*$C$10*25 | E20==+$C$20*$C$10*25 | B21=Villa B.A. | B22=Agent de maison | C22=1 | D22==+$C$22*$C$10*25 | E22==+$C$22*$C$10*25
,,,,Sal,C22,1,CANDIDATE_PARAMETER,12,TO_REVIEW,B20=Agents | C20=1 | D20==+$C$20*$C$10*25 | E20==+$C$20*$C$10*25 | B21=Villa B.A. | B22=Agent de maison | D22==+$C$22*$C$10*25 | E22==+$C$22*$C$10*25 | B23=Jardinier | C23=1 | D23==+$C$23*$C$10*25 | E23==+$C$23*$C$10*25 | A24=TOTAL  TEMPORAIRES | C24==SUM(C15:C23) | D24==SUM(D15:D23) | E24==SUM(E15:E23)
