sheet,cell,row,column,technical_type,value,classification,confidence,used_by_formulas,reason,number_format
FORT DAUPHIN,R8,8,18,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,S8,8,19,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,T8,8,20,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,U8,8,21,NUMBER,115000,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,V8,8,22,TEXT,JOURNALIER,LABEL,MEDIUM,0,Constante textuelle,General
FORT DAUPHIN,W8,8,23,TEXT,TRANOMARO,LABEL,MEDIUM,0,Constante textuelle,General
FORT DAUPHIN,X8,8,24,TEXT,SOMIDA TRA,LABEL,MEDIUM,0,Constante textuelle,General
FORT DAUPHIN,Y8,8,25,TEXT,Espèces,LABEL,MEDIUM,0,Constante textuelle,General
FORT DAUPHIN,Z8,8,26,FORMULA,=+N8/J8,CALCULATED,HIGH,0,Cellule contenant une formule Excel,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,A9,9,1,NUMBER,100137,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,General
FORT DAUPHIN,B9,9,2,TEXT,LAMBO,LABEL,MEDIUM,0,Constante textuelle,General
FORT DAUPHIN,C9,9,3,TEXT,Retahie,LABEL,MEDIUM,0,Constante textuelle,General
FORT DAUPHIN,D9,9,4,TEXT,MANUTENTIONNAIRE,LABEL,MEDIUM,0,Constante textuelle,General
FORT DAUPHIN,E9,9,5,OTHER,2017-10-03 00:00:00,UNKNOWN,LOW,0,Type technique : OTHER,mm-dd-yy
FORT DAUPHIN,G9,9,7,NUMBER,117000,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,H9,9,8,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,I9,9,9,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,J9,9,10,NUMBER,39,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,K9,9,11,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,L9,9,12,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,M9,9,13,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,N9,9,14,NUMBER,117000,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,O9,9,15,NUMBER,2000,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,P9,9,16,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,Q9,9,17,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,R9,9,18,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
